title,description
Cloud Architect,Cloud infrastructure AWS Azure scalability architecture
Security Engineer,Network monitoring SIEM incident response cybersecurity
Penetration Tester,Security audits vulnerability scanning ethical hacking
Software Tester,Manual testing automation regression testing QA
SAP Intern,SAP ERP modules business process integration
CRM Analyst,Salesforce CRM analytics reporting automation
Power BI Developer,Power BI dashboards data visualization reporting
Tableau Developer,Tableau dashboards business intelligence analytics
AI Engineer,Deep learning model deployment MLOps Python
MLOps Engineer,Model deployment Docker Kubernetes CI CD monitoring
NLP Engineer,Text processing transformers sentiment analysis NLP
Frontend Intern,HTML CSS JavaScript UI components development
Backend Intern,API development Flask Django database systems
Full Stack Intern,Frontend backend integration Node React databases
Game Design Intern,Unity gameplay mechanics animation scripting
AR Developer,Augmented reality ARKit Unity 3D interaction
VR Developer,Virtual reality 3D environments simulation development
Cloud Intern,AWS EC2 S3 Docker cloud services deployment
DevOps Engineer,Jenkins Git automation container orchestration
Data Visualization Intern,Python Matplotlib Seaborn dashboard creation
Cybersecurity Intern,Network monitoring firewall security testing
AI Intern,Machine learning experiments Python data preprocessing
Data Intern,Excel SQL reporting analytics dashboards
Marketing Analyst,SEO analytics campaign tracking marketing metrics
Business Intelligence Intern,Data warehousing reporting Power BI SQL
Financial Analyst,Investment analysis forecasting Excel financial modeling
Research Assistant,Statistical analysis experiment design data collection
Operations Manager Intern,Workflow optimization resource planning analytics
Product Analyst,User metrics analytics feature evaluation
Customer Success Intern,Client support analytics communication tools
Cloud Consultant,AWS Azure consulting deployment strategies
IT Auditor,Security compliance auditing risk assessment
Automation Tester,Selenium automation frameworks regression testing
Frontend React Developer,React Redux UI optimization performance tuning
Backend API Developer,REST API Flask Django SQL authentication
Machine Learning Engineer,Model training deployment evaluation Python
AI Product Intern,AI feature integration product experimentation
Blockchain Analyst,Smart contract auditing crypto analytics
Data Governance Intern,Data quality compliance documentation standards
Systems Analyst,Requirement analysis system documentation process modeling
Technical Support Engineer,Hardware troubleshooting network support customer assistance
Software Architect,System design microservices scalability architecture
Python Developer,Python application development data processing APIs automation scripting
Backend Developer Python,Python backend development REST APIs Flask Django data handling
Software Engineer Python,Software development using Python data structures algorithms backend systems
AI Application Developer,Building AI powered applications using Python machine learning text processing
Data Science Intern,Python data analysis machine learning text processing TF IDF similarity
Full Stack Developer Python,Python backend Streamlit frontend full stack web application development
NLP Intern,Text processing NLP TF IDF cosine similarity Python machine learning
Web Application Developer Python,Developing web applications using Python Streamlit backend logic
Tech Product Operations Intern,Product operations workflow coordination tools documentation analytics
Innovation Intern,Ideation problem solving market research prototyping innovation processes
Digital Transformation Intern,Process automation digital tools business transformation analysis
Technology Consulting Intern,Client requirement analysis solution design technology consulting
EdTech Platform Intern,Learning platform tools content management analytics education technology
HealthTech Intern,Healthcare systems data tools digital health platforms
FinTech Operations Intern,Financial systems digital payments data workflows compliance
GovTech Intern,Digital governance platforms public service technology data systems
LegalTech Intern,Legal process automation document analysis technology tools
AgriTech Intern,Agriculture technology data platforms automation farming analytics
Supply Chain Analytics Intern,Logistics analytics inventory optimization data systems
Sustainability Tech Intern,Environmental data tools sustainability analytics climate tech
Energy Systems Intern,Energy management systems data monitoring optimization
Smart City Intern,Urban technology data platforms IoT city analytics
Human Resources Analytics Intern,HR data analysis workforce analytics tools
Customer Experience Analyst Intern,User feedback analysis experience optimization tools
Technical Program Management Intern,Project coordination timelines risk tracking technology programs
Operations Research Intern,Optimization modeling decision support systems analytics
Market Intelligence Intern,Competitive analysis data research business intelligence
Digital Policy Intern,Technology policy research data regulation analysis
Media Technology Intern,Digital media platforms content systems technology
Sports Analytics Intern,Performance analytics data visualization sports technology
Aviation Systems Intern,Air traffic systems data analysis aviation technology
Manufacturing Systems Intern,Production systems automation data monitoring
Quality Systems Intern,Process quality analysis standards compliance tools
IT Infrastructure Intern,Enterprise infrastructure support servers virtualization monitoring tools
Network Operations Intern,Network monitoring routing switching troubleshooting enterprise systems
Systems Integration Intern,Integrating enterprise systems APIs middleware workflow coordination
Enterprise Applications Intern,Business application support ERP CRM enterprise software
IT Service Management Intern,ITSM incident management service desk workflows documentation
Technology Support Analyst Intern,End user support ticket resolution system troubleshooting
Information Systems Intern,Organizational systems analysis data flow documentation
IT Compliance Intern,Technology compliance audits security standards documentation
Enterprise Security Intern,Access control monitoring policy enforcement enterprise security
Cloud Operations Intern,Cloud resource monitoring cost optimization infrastructure support
Identity and Access Management Intern,User access provisioning authentication authorization systems
IT Automation Intern,Automation of IT workflows scripting tools infrastructure
Platform Operations Intern,Platform stability monitoring deployment support
Systems Monitoring Intern,System health monitoring alerts dashboards performance analysis
Technology Risk Intern,IT risk assessment controls monitoring governance
IT Asset Management Intern,Hardware software inventory lifecycle management tracking
Enterprise Data Operations Intern,Data operations quality validation enterprise systems
Unified Communications Intern,Collaboration tools messaging video conferencing platforms
IT Business Systems Intern,Business process systems alignment application support
Service Reliability Intern,System reliability monitoring uptime incident response
Business Analyst Intern,Excel data analysis documentation requirement gathering stakeholder communication
Operations Analyst Intern,Process analysis reporting Excel dashboards operations optimization
Management Information Systems Intern,Excel reporting data coordination system documentation
Administrative Analyst Intern,Office tools Excel coordination reporting communication
Client Relationship Intern,Public speaking presentations client communication reporting
Business Operations Intern,Excel analysis workflow coordination business support
Project Coordination Intern,Project tracking communication presentations Excel reporting
Marketing Operations Intern,Campaign tracking Excel analysis communication coordination
Training and Development Intern,Public speaking training content presentation coordination
Data Reporting Intern,Excel dashboards reporting business data interpretation
